"Project","Text","SDG","Target"
"P119343","social economic factors significantly influence greenhouse gas emissions transport future","Climate mitigation","Climate mitigation.NA"
"P119343","specifically original approved investment plan proposes ctf cofinancing catalyzing private sector investment distributed generation renewable resources increasing viable offtakers electric cooperatives renewable energy ii investment support risk mitigation private sectors entry energy efficiency cleaner production sectors iii solar generation net metering iv introduction bus rapid systems cebu metro manila","Climate mitigation","Climate mitigation.NA"
"P119343","station layouts fundamental product brt planning design process variables account including topography accessibility convenience passengers visibility current future land","Climate mitigation","Climate mitigation.NA"
"P119343","studies reveal implementing brtatc scenario cebu city yield annual savings reference bau baseline scenario tonsyear coe tons equivalent percent percent current total annual ghg emissions urban transport cebu","Climate mitigation","Climate mitigation.NA"
"P119343","taking forecast vehiclekm figures ghg emissions factors table forecast greenhouse gas emissions project brtatc scenario","Climate mitigation","Climate mitigation.NA"
"P119343","taking consideration brt project maintain exclusive transit buses bulacao ayala mall extending bus operations talamban shared row prioritized access buses intersections","Climate mitigation","Climate mitigation.NA"
"P119343","air quality monitoring project cebu citys air quality affected pollution nearby cities wind rose pattern reveals time wind coming northeast mandaue lapulapu cities situated blown city cebu","Pollution prevention","Pollution prevention.NA"
"P119343","appraisal period modeled benefits costs costs benefits prices discount rate percent applied costs expressed factor prices process involves stripping taxes recycled economy process involves conversion factors shadow costs","Circular economy","Circular economy.NA"
"P119343","bank supported study measuring ghg emissions project","Climate mitigation","Climate mitigation.NA"
"P119343","boundary future calculations annex emissions vehicles driving cebu city including brt corridor","Climate mitigation","Climate mitigation.NA"
"P119343","brt system vehicles advanced maintained propulsion systems require fewer liters fuel moving passengers distance","Climate mitigation","Climate mitigation.NA"
"P119343","cebu brt project consists design construction brt transitways stations terminals depot ancillary nmt facilities bulacaoayala malltalamban corridor including physical measures improve integration brt public transport modes","Climate adaptation","Climate adaptation.NA"
"P119343","clean technology fund ctf involvement deliver climate benefits directly project broader strategic promotion brt concept philippines","Climate adaptation","Climate adaptation.NA"
"P119343","ctf funded activities complement world bank funding foster reduction ghg emissions urban transport sector direct investments brt removing barriers local national level promote implement sustainable efficient transport systems","Climate mitigation","Climate mitigation.NA"
"P127676","source strategic prediction climate change expected russia period impacts sectors russian national economy roshydromet","Climate adaptation","Climate adaptation.NA"
"P127676","specialized hydrological networks measuring water balance wetlands hydrological parameters evaporation indices snow water soils modernized river basin","Water","Water.NA"
"P127676","technology ict infrastructure systems delivering weather climate hydrological data information","Climate adaptation","Climate adaptation.NA"
"P127676","technology ict infrastructure systems delivering weather climate hydrological data information component","Climate adaptation","Climate adaptation.NA"
"P127676","activities include expanding forecasting parameters spatial resolution line global practice increasing computational power scientific operational support ii strengthening climate research assessments climate change impacts line roshydromet strategy","Climate adaptation","Climate adaptation.NA"
"P127676","approval climate doctrine russian federation rf president rp december russia officially acknowledges global warming poses significant challenge security major step direction","Climate adaptation","Climate adaptation.NA"
"P129791","sea fisheries sea fishing takes waters close xiapu coast distant fishing grounds zhoushan islands","Water","Water.NA"
"P129791","sectors climate change sector maximum total equal major sector sector adaptation mitigation cobenefits cobenefits water sanitation flood flood protection protection agriculture fishing agriculture fishing forestry forestry sector transportation ports waterways shipping total certify adaptation mitigation climate change cobenefits information applicable project","Climate adaptation","Climate adaptation.NA"
"P129791","construction activities fuying island reserve result significant conversion degradation critical natural habitats","Climate adaptation","Climate adaptation.NA"
"P129791","current risks faced fishermen comprise major categories losses vessels close port port losses fishing vessels sea port damages fishing vessels sea port injuries loss life","Climate mitigation","Climate mitigation.NA"
"P130682","returning average turbidity levels observed beginning century reduce cost inputs water treatment million million bringing total benefits million","Water","Water.NA"
"P130682","risk mitigation investments covered component include development integrated warning response system capacity building disaster risk management","Climate adaptation","Climate adaptation.NA"
"P130682","samastage res preparation du ae status samaand res implementation du ae risk management implementation geffinanced biodiversity watershed potential implementation delays implementation component watershed conservation restoration project set stage management restoration forest cover occur required administrative structure reflorestar program carried numerous behavioral related land bringing legislative provisions communication campaigns program rural producers continue administrative structure effective pes implementation implementation reflorestar","Climate mitigation","Climate mitigation.NA"
"P130682","saneamento brazil includes water supply sanitation solid waste management","Water","Water.NA"
"P130682","sanitation watershed management restoration forest cover","Climate mitigation","Climate mitigation.NA"
"P130682","seama oversees water resources quality monitoring network collects data freshwater quality main river basins coastal pollution beaches coast totaling sampling locations","Water","Water.NA"
"P130682","seama charge leading execution activities related water resources reforestation drm components incaper charge executing activities related mangarai pilot project component","Water","Water.NA"
"P130682","sediment loads santa maria river increased causing significant water sector","Water","Water.NA"
"P130682","selection consulting services include selection consulting management firm strengthening ugp duration project consulting services development management plans sdo mateus itainas itapemirim river basins development water resources management plan project design water quality laboratory facilities development water resources quality monitoring network risk management plans","Water","Water.NA"
"P130682","senior water lizmara kirchner","Water","Water.NA"
"P130682","ses aimed encouraging conservation existing forest cover restoring degraded ecosystems watersheds supplying gvmr","Biodiversity","Biodiversity.NA"
"P130682","component deal generation opportunities revenue rural producers noted preparation eia forest cover restoration activities low toxicity herbicides formicides pest management ants seedling planting phase program","Climate mitigation","Climate mitigation.NA"
"P130682","entity responsibilities steering committee participation highlevel representative seama ugp water resources reforestation disaster risk management ctg entity charge leading execution activities related water resources reforestation disaster risk management components steering committee participation highlevel representative ugp water supply sanitation urban water management ctg entity charge executing activities related executing activities related water cesan supply sanitation component urban water management institutional aspects related gvmr component ugp mangarai pilot project ctg support execution mangarai pilot project component steering committee participation highlevel representative incaper ugp mangarai pilot project ctg entity charge executing activities related mangarai pilot project component","Water","Water.NA"
"P130682","strengthening hydrological water quality monitoring network institutional capacity million","Water","Water.NA"
"P130682","supporting capacity building sectorial levels adequate training development methodologies guidelines hazard vulnerability risk assessment development workshops guidelines incorporate risk territorial planning public investments focus water sanitation","Water","Water.NA"
"P130682","table investments undertaken mangarai watershed aim reducing erosion improving water quality downstream expected cost","Water","Water.NA"
"P130682","activities financed integrated water management component targeted municipal institutional stakeholders direct role ensuring sustainability interventions contribute building physical institutional basis sustained integration strategic planning policies water resources water infrastructure environment","Water","Water.NA"
"P130682","actual increase revenues explained expansion services volume water sewerage billed","Water","Water.NA"
"P131256","morocco imports percent domestic energy largest energy importer mena region","Climate mitigation","Climate mitigation.NA"
"P131256","morocco largest energy importer middle east depending nondomestic sources percent domestic energy demand","Climate mitigation","Climate mitigation.NA"
"P131256","morocco committed solar program moving forward insufficient global climate finance pay incremental costs","Climate adaptation","Climate adaptation.NA"
"P131256","morocco dependent fossil fuel imports primary energy largest energy importer mena","Climate mitigation","Climate mitigation.NA"
"P131256","morocco strategically located energy constrained","Climate mitigation","Climate mitigation.NA"
"P131256","morocco plans meet renewable energy target developing megawatts mw solar capacity moroccan solar plan msp referred noor mw wind capacity mw hydro advantage countrys excellent renewable energy resources","Climate mitigation","Climate mitigation.NA"
"P131256","morocco plans meet renewable energy target developing megawatts mw solar capacity moroccan solar plan msp mw wind capacity mw hydro advantage countrys excellent renewable energy resources","Climate mitigation","Climate mitigation.NA"
"P131256","morocco increase energy security gradually develop local solar industrial complex researchdevelopment base develop interior regions country create urgently jobs","Climate mitigation","Climate mitigation.NA"
"P131256","moroccos energy policy prioritizes security energy supply diversification sources resources optimization countrys energy balance","Climate mitigation","Climate mitigation.NA"
"P131256","moroccos strategy targets renewable energy capacity percent","Climate mitigation","Climate mitigation.NA"
"P131256","moroccos renewable energy strategy effort reduce dependence fossil fuels protect excessive fluctuations prices fossil fuels develop countrys vast renewable energy resources","Climate mitigation","Climate mitigation.NA"
"P131256","moroccos solar plan launched november cornerstone countrys renewable energy climate change mitigation strategy","Climate mitigation","Climate mitigation.NA"
"P131256","importantly plants contribute air pollution emitting greenhouse gases local pollutants","Pollution prevention","Pollution prevention.NA"
"P131256","importantly project reduce air pollution emitting greenhouse gases local pollutants","Pollution prevention","Pollution prevention.NA"
"P131256","net energy importers morocco tunisia jordan hand faced","Climate mitigation","Climate mitigation.NA"
"P131256","noted project sound economic rationale contribute global public lower costs low carbon technology ii morocco stands benefit lower costs future csp investments","Climate mitigation","Climate mitigation.NA"
"P131256","nonetheless capacitybased analysis consideration substantial additional costs renewable energy penetration expected grid incur support variable generation pv generation","Climate mitigation","Climate mitigation.NA"
