"Project","Unit","Biodiversity","Circular economy","Climate adaptation","Climate mitigation","Pollution prevention","Water"
"166991","%",0,0,60,0,0,40
"167795","%",0,0,20,70,0,10
"167894","%",0,0,33.3,66.7,0,0
"168634","%",11.1,0,66.7,11.1,0,11.1
"168943","%",0,0,0,20,10,70
"169330","%",0,0,75,0,0,25
"169548","%",0,0,0,100,0,0
"169983","%",12.5,0,50,12.5,0,25
"170131","%",0,0,10.5,84.2,0,5.3
"170178","%",0,0,100,0,0,0
"170230","%",0,0,40,40,20,0
"170236","%",0,0,5.6,88.9,0,5.6
"170590","%",14.3,0,0,85.7,0,0
"170891","%",0,0,20,6.7,0,73.3
"171266","%",0,0,50,0,0,50
"171311","%",0,33.3,0,66.7,0,0
"171644","%",10,10,10,20,0,50
"172187","%",0,0,50,0,0,50
"172256","%",9.1,0,18.2,72.7,0,0
"172592","%",11.1,0,33.3,44.4,0,11.1
"172707","%",0,0,75,25,0,0
"172806","%",22.6,0,3.2,12.9,3.2,58.1
"172926","%",10,0,0,0,10,80
"173151","%",0,0,0,0,0,100
"173487","%",22.2,0,11.1,55.6,11.1,0
"173782","%",0,0,66.7,0,0,33.3
"174067","%",0,0,75,25,0,0
"174191","%",0,0,93.8,0,0,6.2
"174246","%",20,0,40,20,0,20
"174251","%",0,0,20,60,0,20
"174259","%",0,0,40,20,40,0
"174367","%",0,0,30,70,0,0
"174564","%",0,0,0,100,0,0
"174732","%",0,28.6,14.3,0,0,57.1
"174798","%",0,0,33.3,0,0,66.7
"174806","%",44.4,0,33.3,0,22.2,0
"174812","%",0,25,0,75,0,0
"175011","%",52.4,4.8,23.8,14.3,4.8,0
"175221","%",0,0,20,30,10,40
"175455","%",0,0,33.3,66.7,0,0
"175493","%",0,0,100,0,0,0
"175543","%",12.5,0,62.5,25,0,0
"175592","%",0,0,100,0,0,0
"175640","%",0,0,50,50,0,0
"175669","%",50,6.2,43.8,0,0,0
"175676","%",33.3,0,66.7,0,0,0
"175742","%",0,0,66.7,33.3,0,0
"175747","%",0,0,0,16.7,0,83.3
"175801","%",0,0,0,75,0,25
"175874","%",0,0,22.2,77.8,0,0
"175930","%",0,0,25,75,0,0
"176006","%",0,0,100,0,0,0
"176017","%",16.7,0,11.1,72.2,0,0
"176105","%",0,50,0,0,0,50
"176164","%",0,0,83.3,16.7,0,0
"176232","%",21.1,0,52.6,10.5,0,15.8
"176608","%",0,0,66.7,33.3,0,0
"P176297","%",40,0,60,0,0,0
"P176353","%",0,0,100,0,0,0
"P176404","%",0,0,0,100,0,0
"P176420","%",0,0,100,0,0,0
"P176505","%",0,0,50,50,0,0
"P176581","%",0,0,100,0,0,0
"P176650","%",0,0,88.9,11.1,0,0
"P176770","%",0,30,0,70,0,0
"P176781","%",0,0,100,0,0,0
"P176788","%",14.3,0,28.6,57.1,0,0
"P176803","%",0,0,0,100,0,0
"P176891","%",0,0,80,20,0,0
"P176903","%",0,0,33.3,33.3,0,33.3
"P176905","%",10,10,50,20,0,10
"P176937","%",0,7.1,85.7,0,7.1,0
"P176983","%",4.2,0,37.5,58.3,0,0
"P177004","%",0,0,57.1,0,0,42.9
"P177038","%",0,0,0,66.7,33.3,0
"P177125","%",0,0,100,0,0,0
"P177305","%",25,0,50,0,0,25
"P177590","%",6.2,18.8,0,43.8,0,31.2
"P177632","%",0,0,50,50,0,0
"P177726","%",0,0,16.7,83.3,0,0
"P177765","%",0,0,33.3,55.6,0,11.1
"P177895","%",0,0,50,50,0,0
"P177959","%",0,0,100,0,0,0
"P177985","%",0,0,50,50,0,0
"P178009","%",66.7,0,11.1,22.2,0,0
"P178043","%",0,0,0,100,0,0
"P178067t","%",0,0,25,75,0,0
"P178181","%",0,0,100,0,0,0
"P178215","%",0,0,0,100,0,0
"P178224","%",0,0,0,100,0,0
"P178285","%",0,0,100,0,0,0
"P178329","%",0,0,66.7,33.3,0,0
"P178564","%",0,0,0,100,0,0
"P178587","%",0,0,100,0,0,0
"P178729","%",0,0,33.3,66.7,0,0
"P178866","%",0,0,0,100,0,0
"P178912","%",0,0,0,50,0,50
"P178926","%",0,0,33.3,66.7,0,0
"P179010","%",0,0,0,0,100,0
