"Project","Text","SDG","Target"
"P079032","rayon diesel gas diesel power stations mw capacities excluding constructions","SDG 17","SDG 17.19"
"P079032","recent ongoing analytical forms integral broader poverty dialogue government russia","SDG 1","SDG 1.1"
"P079032","recognizing uncertainty lack specific investment proposals stage project development developed green red list typical investments housing communal sector","SDG 17","SDG 17.5"
"P079032","recognizing uncertainty lack specific investment proposals stage project development emp developed green red typical investments housing communal sector","SDG 17","SDG 17.5"
"P079032","reform achieving results reauire improving efficiency investment hcs sector","SDG 17","SDG 17.5"
"P079032","reform processes require management professional technical skills deal organizational emerge reform cultural issues involved","SDG 11","SDG 11.4"
"P079032","rehabilitation modernization technical conditions converting consumeroriented policy providing metering mechanisms consumer control supply building level","SDG 17","SDG 17.13"
"P079032","relevance investments investment subprojects relevant achieving broad improvements hcs services","SDG 17","SDG 17.5"
"P079032","relevance investments investment subprojects relevant achieving wide ranging improvements hcs services","SDG 17","SDG 17.5"
"P079032","relevant psia activities include extensive analytical regular consultations local government civil society donors involved dialogue transition","SDG 2","SDG 2.a"
"P079032","renewable energy sources","SDG 7","SDG 7.1"
"P079032","replicabilitv implemented reforms investments","SDG 17","SDG 17.5"
"P079032","report ru project appraisal document proposed loan amount million russian federation housing communal services project january sustainable development department russia country unit europe central asia region document restricted distribution recipients performance official duties","SDG 12","SDG 12.1"
"P079032","rf president putin government russia recently declared accessible housing national priority proaams","SDG 8","SDG 8.10"
"P079032","rosstroi independent engineering firms routine supervision quality investment phase","SDG 17","SDG 17.5"
"P079032","rosstroi establish evaluation committee procurement legislation include representatives ministry finance ministry economic development trade","SDG 8","SDG 8.a"
"P079032","russia prepaid debt imf paid debt paris club","SDG 17","SDG 17.4"
"P079032","russia succeeded reducing public sector foreigncurrency denominated debt percent gdp percent gdp","SDG 17","SDG 17.4"
"P079032","safeguard policies safeguard policies triggered project environmental assessment opbp","SDG 17","SDG 17.13"
"P079032","social protection consumers strengthened ensure affordability services","SDG 1","SDG 1.3"
"P079032","describes key steps reform phase select cities reform phase assess investment plans award grants cities completed planned reform","SDG 11","SDG 11.6"
"P079032","social protection consumers strengthened ensure affordability services","SDG 1","SDG 1.3"
"P079032","selected indicators regular monitoring impact households monitoring adequacy funding housing allowances adequacy program administration","SDG 17","SDG 17.19"
"P079032","selected municipalities required submit investment plans improve hcs","SDG 17","SDG 17.5"
"P079032","set national monitoring system million subcomponent support set monitoring system federal government monitor status hcs sector regions municipalities aggregate data country wide progress reforms","SDG 16","SDG 16.10"
"P079032","shelter water supply sewerage heating hot water services basic services citizens countries rate","SDG 6","SDG 6.4"
"P079032","shelter water supply sewerage heating hot water services basic services citizens countries rate","SDG 6","SDG 6.4"
"P079032","shortages heating supply regions winter shown challenge maintaining continuous reliable supply hcs services","SDG 7","SDG 7.1"
"P079032","desire switch report based disbursement initial stage project implementation budgeting system incorporated accounting system","SDG 16","SDG 16.10"
"P079032","build heating water supply pipelines laid public rights","SDG 6","SDG 6.4"
"P079032","cs providers losses services provided households lack incentives improve service quality expand service coverage","SDG 11","SDG 11.1"
"P079032","mid government policy phase lgoti privileges replace meanstested social payments","SDG 1","SDG 1.3"
"P079032","social payment arrears eliminated targeted programs hcs municipalities","SDG 1","SDG 1.3"
"P079032","space heating systems residential buildings facilities constructions","SDG 11","SDG 11.7"
"P079032","step reform status evaluation process selection cities investment phase selected cities participate investment phase program","SDG 11","SDG 11.6"
"P079032","strengthening social protection consumers technical assistance support improving targeting coverage efficiency hcs subsidies enhance impact social assistance programs poverty alleviation","SDG 1","SDG 1.3"
"P079032","strengthening social protection consumers technical assistance support improving targeting coverage efficiency hcs subsidies enhance impact social assistance programs poverty alleviation","SDG 1","SDG 1.3"
