"Project","Unit","SDG 1","SDG 2","SDG 3","SDG 4","SDG 5","SDG 6","SDG 7","SDG 8","SDG 9","SDG 10","SDG 11","SDG 12","SDG 13","SDG 14","SDG 15","SDG 16","SDG 17","Main_SDG"
"P079032","%",19.6,2,2,0,0,9.8,3.9,3.9,0,0,13.7,3.9,0,0,0,5.9,35.3,"SDG 17"
"P085375","%",1.9,1,4.9,0,1,41.7,0,0,2.9,2.9,2.9,1,3.9,1.9,0,16.5,17.5,"SDG 6"
"P086592","%",1.4,21.1,0,0,1.4,11.3,1.4,1.4,1.4,1.4,2.8,8.5,1.4,0,5.6,25.4,15.5,"SDG 16"
"P088799","%",6.7,7.8,4.4,0,0,3.3,0,0,7.8,4.4,6.7,7.8,2.2,1.1,8.9,17.8,21.1,"SDG 17"
"P088966","%",1.8,0,1.8,0,0,21.4,1.8,1.8,1.8,1.8,14.3,10.7,1.8,3.6,0,14.3,23.2,"SDG 17"
"P089985","%",1.8,1.8,1.8,0,0,9.1,1.8,0,1.8,0,14.5,1.8,9.1,0,3.6,29.1,23.6,"SDG 16"
"P090990","%",8,0,20,0,0,0,0,0,4,0,0,0,0,8,0,28,32,"SDG 17"
"P092218","%",0,0,4.4,0,0,4.4,0,0,2.2,2.2,2.2,8.9,2.2,0,0,11.1,62.2,"SDG 17"
"P092429","%",10.5,0,0,0,0,0,0,2.6,0,0,0,7.9,0,2.6,0,44.7,31.6,"SDG 16"
"P093765","%",0,4,0,0,0,12,4,0,4,2,4,10,6,2,6,2,44,"SDG 17"
"P093775","%",2.7,16.2,0,1.4,0,17.6,0,1.4,0,0,1.4,16.2,4.1,2.7,2.7,6.8,27,"SDG 17"
"P096124","%",1.1,7.8,3.3,0,0,3.3,10,0,4.4,2.2,5.6,2.2,6.7,1.1,11.1,23.3,17.8,"SDG 16"
"P096481","%",3.6,0,0,0,0,17.9,7.1,3.6,0,0,0,3.6,0,0,3.6,7.1,53.6,"SDG 17"
"P096532","%",4.4,2.2,6.7,0,0,28.9,2.2,0,0,8.9,2.2,11.1,8.9,0,2.2,6.7,15.6,"SDG 6"
"P099270","%",2.8,0,29.6,0,0,2.8,2.8,1.4,0,1.4,5.6,1.4,8.5,0,1.4,22.5,19.7,"SDG 3"
"P101103","%",0,0,10.2,0,0,2,6.1,0,8.2,4.1,4.1,12.2,2,4.1,0,16.3,30.6,"SDG 17"
