"Project","Unit","SDG 1","SDG 2","SDG 3","SDG 4","SDG 5","SDG 6","SDG 7","SDG 8","SDG 9","SDG 10","SDG 11","SDG 12","SDG 13","SDG 14","SDG 15","SDG 16","SDG 17","Main_SDG"
"P079032","%",19.6,2,2,0,0,9.8,3.9,3.9,0,0,13.7,3.9,0,0,0,5.9,35.3,"SDG 17"
"P085375","%",2,1,4.9,0,1,42.2,0,0,2.9,3.9,2.9,1,3.9,2,0,14.7,17.6,"SDG 6"
"P086592","%",1.4,21.1,0,0,1.4,11.3,1.4,1.4,1.4,1.4,2.8,8.5,1.4,0,5.6,25.4,15.5,"SDG 16"
"P088799","%",5.4,7.6,4.3,0,1.1,4.3,0,0,7.6,4.3,6.5,7.6,2.2,1.1,7.6,18.5,21.7,"SDG 17"
"P088966","%",1.8,0,1.8,0,0,19.6,1.8,1.8,1.8,1.8,12.5,10.7,1.8,3.6,1.8,16.1,23.2,"SDG 17"
"P089985","%",1.8,1.8,1.8,0,0,9.1,1.8,0,1.8,0,14.5,1.8,9.1,0,3.6,29.1,23.6,"SDG 16"
"P090990","%",7.7,0,19.2,0,0,0,0,0,3.8,0,0,0,3.8,7.7,0,26.9,30.8,"SDG 17"
"P092218","%",0,0,4.3,0,0,4.3,0,0,2.2,4.3,2.2,8.7,2.2,0,0,10.9,60.9,"SDG 17"
"P092429","%",10.5,0,0,0,0,0,0,2.6,0,0,0,7.9,0,2.6,0,44.7,31.6,"SDG 16"
"P093765","%",0,4,0,0,0,12,4,2,2,2,4,10,6,2,6,2,44,"SDG 17"
"P093775","%",2.7,16.2,0,1.4,0,17.6,0,1.4,0,0,2.7,14.9,4.1,2.7,2.7,6.8,27,"SDG 17"
"P096124","%",1.1,7.6,3.3,0,0,4.3,7.6,0,4.3,3.3,8.7,2.2,6.5,1.1,10.9,21.7,17.4,"SDG 16"
"P096481","%",3.6,0,0,0,0,17.9,7.1,3.6,0,0,0,3.6,3.6,0,3.6,7.1,50,"SDG 17"
"P096532","%",4.5,2.3,4.5,0,0,29.5,2.3,0,0,6.8,2.3,11.4,9.1,0,2.3,9.1,15.9,"SDG 6"
"P099270","%",2.9,0,28.6,0,0,2.9,2.9,1.4,0,1.4,5.7,1.4,8.6,0,1.4,22.9,20,"SDG 3"
"P101103","%",0,0,12,0,0,0,10,0,8,2,8,8,2,4,0,16,30,"SDG 17"
