"","Project","Text","SDG","Target"
"1","P079032","government russian federation","No map","No map.NA"
"2","P079032","approved rf government resolution","No map","No map.NA"
"3","P079032","budget surpluses increased funds investments upgrading infrastructure","No map","No map.NA"
"4","P079032","project effectiveness ten mediumsized cities reserve cities competitively selected basis planned reforms reform phase","SDG 11","SDG 11.6"
"5","P079032","cities ranked assessment score top ten cities selected picked reserve cities","No map","No map.NA"
"6","P079032","creating market competition housing management maintenance technical assistance support improving management maintenance repair multifamily buildings clarifying formalizing rights responsibilities owners multi family buildings","SDG 10","SDG 10.5"
"7","P079032","reform phase cities implement planned reforms","SDG 11","SDG 11.6"
"8","P079032","improving financial viability communal services providers technical assistance provided support breaking vicious cycle tariffs operating costs lowquality services communal service providers trapped","No map","No map.NA"
"9","P079032","addition subcomponent support consolidation program administration targeted social assistance benefits including housing allowances","SDG 1","SDG 1.3"
"10","P079032","priorities include facilitating private sector participation housing communal services developing targeted social assistance improving measuring quality services provided","SDG 4","SDG 4.2"
"11","P079032","municipal funding scarce inadequate tariffs","No map","No map.NA"
"12","P079032","municipalities cs providers plagued frequent rotation personnel","No map","No map.NA"
"13","P079032","project components","No map","No map.NA"
"14","P079032","recent macroeconomic stabilization rising household incomes greatly improved prospects reforms hcs sector","SDG 17","SDG 17.13"
"15","P079032","regional governments partially reimbursed housing allowance expenditures","No map","No map.NA"
"16","P079032","selection cities consists steps","No map","No map.NA"
"17","P079032","services hcs sector continue delivered local governments soviet era virtually reliance marketbased mechanisms","No map","No map.NA"
"18","P079032","technical assistance provided assist increasing autonomy accountability cs providers","SDG 10","SDG 10.1"
"19","P079032","technical assistance focus reform","No map","No map.NA"
"20","P079032","audit results hcs providers published","No map","No map.NA"
"21","P079032","federal government enacted impressive array legal regulatory acts past","SDG 16","SDG 16.9"
"22","P079032","incremental dilapidated housing stock exceeded capital repairs carried period","No map","No map.NA"
"23","P079032","investment plans include supply services required infrastructure rehabilitation services required improve social protection consultancy services support implementation investments","SDG 1","SDG 1.3"
"24","P079032","lack thermostat controls metering leads consumers waste energy water windows running taps means controlling comfort levels","SDG 12","SDG 12.4"
"25","P079032","selected cities ten program manageable ensure participating cities receive adequate investments sector requiring substantial financial resources","SDG 11","SDG 11.6"
"26","P079032","project consist phases month reform phase month investment phase graph","SDG 17","SDG 17.5"
"27","P079032","reform plans municipalities pass step assessed formula measures planned reform status reform stage relative reform status time application","SDG 16","SDG 16.1"
"28","P079032","economic financial analyses specific investments undertaken stage","No map","No map.NA"
"29","P079032","estimate include investment requirements increase coverage communal services","SDG 17","SDG 17.5"
"30","P079032","hcs reforms difficult implement tough economic times","No map","No map.NA"
"31","P079032","conservative estimate average amount cofinancing million million municipality","No map","No map.NA"
"32","P079032","critical factor success hcs reforms political willingness capacity municipal authorities implement reforms","No map","No map.NA"
"33","P079032","detailed protocol conflict resolution system municipalities suppliers independent supervising engineers piu acceptable bank developed","SDG 1","SDG 1.3"
"34","P079032","discussion government taking establish flexible regulatory system regions independently exceed limits municipalities","SDG 16","SDG 16.10"
"35","P079032","focus welltodo demonstrate feasibility marketbased housing supply mechanisms","No map","No map.NA"
"36","P079032","key element accessible housing national priority project improve living conditions quality communal services","SDG 4","SDG 4.2"
"37","P079032","key element accessible housing project improve living conditions quality communal services population","SDG 4","SDG 4.2"
"38","P079032","methodology select cities reform phase evaluate investment plans evaluate progress reform status select cities investment phase prepared rosstroi consultation ministries agreed bank prior project negotiations","SDG 11","SDG 11.6"
"39","P079032","detailed summary economic financial screening process included annex","No map","No map.NA"
"40","P079032","actors local level including municipal administrations services providers buildinglevel management structures cooperate implement reforms investments project","SDG 17","SDG 17.5"
"41","P079032","project account rubles","No map","No map.NA"
"42","P079032","recent survey percent russians quality hcs services improve introducing cost recovery","SDG 4","SDG 4.2"
"43","P079032","financial transparency outstanding debts government municipalities regions federal hcs service providers calculated accounts payable enterprise reduced time","SDG 17","SDG 17.4"
"44","P079032","series seminars round tables municipalties explain methodology raise awareness underway selection participating municipalities completed project effectiveness","No map","No map.NA"
"45","P079032","surge private sector participation water supply sewerage sector reversed investors satisfied returns investments","SDG 17","SDG 17.17"
"46","P079032","survey percent russians quality hcs services improve introducing cost recovery","SDG 4","SDG 4.2"
"47","P079032","technical audit carried verify assets acquired project","No map","No map.NA"
"48","P079032","unifking theme initiatives comprising federal governments reform program clarification responsibilities funding levels government","No map","No map.NA"
"49","P079032","data billion rubles percent gdp financed federal budget total amount housing allowances calculated billion rubles","SDG 16","SDG 16.10"
"50","P079032","data total amount housing allowances rur billion rur billion percent gdp financed federal budget","SDG 16","SDG 16.10"
"51","P079032","official data deficiency budget compensation hcs enterprises amounted rur billion","SDG 16","SDG 16.10"
"52","P079032","rosstroi cs providers regions losses amounting rur billion","No map","No map.NA"
